Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
"This USGS data file has been deprecated. To continue receiving updates for earthquake information you must switch to the new data format [http://earthquake.usgs.gov/earthquakes/feed/]. In the future, data feeds will be updated and deprecated following our official deprecation policy [http://earthquake.usgs.gov/earthquakes/feed/policy.php]."
nc,72196680,0,"Wednesday, April  9, 2014 20:03:54 UTC",38.8253,-122.7953,1.2,3.50,19,"Northern California"
nc,72196675,1,"Wednesday, April  9, 2014 19:56:56 UTC",38.8215,-122.8107,1.2,3.70,28,"Northern California"
hv,60669926,3,"Wednesday, April  9, 2014 18:37:34 UTC",19.4377,-155.6223,1.3,3.00,23,"Island of Hawaii, Hawaii"
uu,60064112,4,"Wednesday, April  9, 2014 18:14:13 UTC",39.4440,-111.2283,1.6,1.80,11,"Utah"
pr,14099004,3,"Wednesday, April  9, 2014 17:53:17 UTC",18.5070,-68.8046,4.1,127.00,18,"Dominican Republic"
uu,60064092,4,"Wednesday, April  9, 2014 16:04:26 UTC",42.4542,-111.6017,1.9,5.70,20,"southern Idaho"
nc,72196525,4,"Wednesday, April  9, 2014 15:32:10 UTC",35.4792,-120.6022,1.5,0.00,40,"Central California"
pr,14099002,0,"Wednesday, April  9, 2014 14:42:26 UTC",18.8560,-67.3251,2.5,26.00, 4,"Puerto Rico region"
nc,72196500,0,"Wednesday, April  9, 2014 14:27:59 UTC",38.7887,-122.7645,1.4,2.50,22,"Northern California"
uu,60064087,4,"Wednesday, April  9, 2014 14:13:16 UTC",39.4448,-111.2348,1.7,2.20,22,"Utah"
uw,60739026,2,"Wednesday, April  9, 2014 13:58:47 UTC",47.8678,-121.6353,1.0,11.30,14,"Washington"
nc,72196485,0,"Wednesday, April  9, 2014 13:47:50 UTC",37.5813,-118.8145,1.5,2.10,10,"Central California"
hv,60669851,4,"Wednesday, April  9, 2014 13:32:15 UTC",19.4903,-155.6955,2.7,8.60,54,"Island of Hawaii, Hawaii"
hv,60669846,4,"Wednesday, April  9, 2014 13:31:54 UTC",19.4923,-155.6882,1.1,8.30,26,"Island of Hawaii, Hawaii"
nc,72196480,0,"Wednesday, April  9, 2014 13:13:21 UTC",38.8415,-122.8303,1.0,2.60,18,"Northern California"
